planner,difficulty,num_runs,success_rate,avg_iters,avg_time_s,avg_path_distance,avg_smoothness,avg_min_sdf,avg_goal_error
agd,easy,3,0.6666666666666666,676.6666666666666,0.4872110333138456,19.764470834298624,204.8961543860847,0.24730138105315225,0.44220071929804233
agd,hard,3,1.0,22.666666666666668,0.01907690001341204,17.26495396020961,33.6077058860425,0.4229876396738848,0.036306571389948354
agd,medium,3,1.0,16.333333333333332,0.007019533310085535,13.99877767540791,9.018466404760199,0.7703330327153579,0.031645639389440615
alm,easy,3,1.0,5.0,1.5700763665760558,11.480376214408457,0.01140830820743891,0.4959578207542326,0.0
alm,hard,3,1.0,9.666666666666666,0.5890420666740587,11.564382555497936,0.08871792130186672,0.47078392781961687,0.0
alm,medium,3,1.0,5.333333333333333,0.22820796670081714,11.493982577576242,0.020718229940852095,0.5543126560227881,0.0
bfgs,easy,3,1.0,35.333333333333336,0.02181413342865805,16.869241616714966,34.153698381642975,0.505879128708315,0.04741832344169313
bfgs,hard,3,1.0,218.0,0.24271196654687324,23.39689990202663,113.3570140694063,0.323027129086338,0.04358720921276612
bfgs,medium,3,1.0,28.333333333333332,0.020939999958500266,13.084674881980012,6.604294534473511,0.679930830603935,0.04452766333964375
gd,easy,3,1.0,41.666666666666664,0.010463366673017541,15.35751809957361,26.808030050390855,0.5345176325740771,0.04624446860374814
gd,hard,3,1.0,65.33333333333333,0.026010300032794476,18.440481720892652,40.25431483425558,0.44292942098101445,0.045302796623999574
gd,medium,3,1.0,36.0,0.010231133317574859,13.183458193879686,10.639471042158455,0.5896504371390409,0.04506824427904907
newton,easy,3,0.0,2000.0,0.9317579000877837,41.22470723654303,508.25842588136237,0.45965298638530633,1.2470239459754469
newton,hard,3,0.6666666666666666,698.0,0.44588629994541407,26.920568032909017,105.42476942721241,0.5234658014140965,0.4455083563501738
newton,medium,3,1.0,32.0,0.010694866611932715,12.94292365557664,21.82649348668374,0.8340596619067684,0.04407155286140104
