outer_iter,cost,violation,min_sdf,rho,inner_iters,n_active
0,42.99897612762417,0.3684270226082442,0.11409153347050971,1.0,73,0
1,43.27320385993846,0.21388685486480186,0.26933152328004906,1.0,60,6
2,43.380144400058775,0.10763742247693475,0.3766415835721406,2.0,57,6
3,43.435347805544154,0.056701825232367886,0.4282237233500521,4.0,48,6
4,43.47403057615945,0.03232535128743397,0.45604892441543865,8.0,48,6
5,43.48963674365039,0.010024570840317049,0.47892803073659196,16.0,50,5
6,43.49102275389168,0.002278203685085911,0.4839296101653683,32.0,46,4
7,43.49119937324092,0.0007957129586027012,0.48431581348082675,32.0,34,4
