outer_iter,cost,violation,min_sdf,rho,inner_iters,n_active
0,43.826804462453815,0.7108722751938344,-0.2157982303345667,1.0,83,0
1,44.99752291222978,0.42581708730723633,0.07043951910878443,1.0,81,6
2,45.46808663884457,0.1932807695079226,0.3013807409123852,2.0,89,6
3,45.614546651150704,0.07380510008056795,0.4188386311644883,4.0,69,5
4,45.66384103643476,0.03251345198352906,0.45708106649313085,8.0,61,5
5,45.69491144805122,0.01279009604680681,0.4731986136783466,16.0,51,5
6,45.70264238758213,0.003829987835344273,0.48177097632075694,32.0,36,4
7,45.70366036076967,0.001143187541224444,0.484809204124762,64.0,44,3
8,45.70378512827252,0.0004069288517107861,0.48518083624451425,128.0,13,3
