outer_iter,cost,violation,min_sdf,rho,inner_iters,n_active
0,43.621817375394365,0.6232266465533932,-0.15716447746870588,1.0,58,0
1,44.679727689793744,0.4006541399680372,0.07394841434914401,1.0,68,14
2,45.250921948924635,0.20803059052596828,0.2726637346199816,2.0,69,13
3,45.53989198626017,0.08096181812421555,0.40058832415422685,4.0,65,11
4,45.64547094388966,0.04205008360674478,0.4467634490580794,8.0,62,10
5,45.68795039154022,0.015943893387239783,0.46810335283435256,16.0,52,9
6,45.70981008405445,0.008591196716307481,0.4745545048376716,32.0,47,8
7,45.719707824677954,0.00306817238421897,0.47988623288859034,64.0,46,8
8,45.72052971051253,0.00029612929763289664,0.4802759557140235,128.0,44,6
