outer_iter,cost,violation,min_sdf,rho,inner_iters,n_active
0,42.70139607901134,0.13975802678735239,0.35501076457369374,1.0,50,0
1,42.72983296806263,0.0855579499998187,0.40935745839343674,1.0,37,3
2,42.74108710910074,0.047635538339622974,0.44803681349632796,2.0,48,3
3,42.74734188656317,0.022772027528447092,0.4728168572163505,4.0,38,3
4,42.74940584288515,0.010457468407285342,0.48376959445039014,8.0,46,2
5,42.75076483605879,0.005672473020853497,0.4863442191772054,16.0,36,2
6,42.751688606443366,0.002618974055424994,0.48697290171439334,32.0,38,2
7,42.75198171707741,0.0003360111458028392,0.48871273056283404,64.0,25,2
