outer_iter,cost,violation,min_sdf,rho,inner_iters,n_active
0,43.151522414752115,0.362968730160961,0.12276897354170879,1.0,51,0
1,43.64712312260238,0.24851724578985168,0.24244134632779168,1.0,58,13
2,43.99094224466235,0.1723114497380865,0.31585335193684966,2.0,55,12
3,44.29933367817757,0.12223640173908107,0.3561764723924155,4.0,57,11
4,44.54916331676122,0.07618879785710647,0.40407825540916403,8.0,61,12
5,44.7274475540173,0.05936033061211449,0.42126162968662634,16.0,71,11
6,44.81394130321854,0.037787961440296725,0.44599892326590956,32.0,76,11
7,44.91929006869801,0.03564297249070686,0.4494918769520166,64.0,56,10
8,45.07746950525027,0.023913832977703775,0.45708661156701175,128.0,61,10
9,45.27225174686556,0.014059313862507306,0.4529524378465292,256.0,70,10
10,45.41463868507203,0.006277435457551939,0.4522961242692554,512.0,77,9
11,45.457741568847126,0.0014221030853484584,0.4514412264681214,1024.0,104,9
12,45.46195353681255,0.0003504349851496946,0.4512801000303875,1024.0,42,9
